Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2020,32,Brad Keselowski,3,3,18,1,27,9,1,82,81,45,54.9,2,95,87.2,7,6.4,109,91.1
2020,32,Austin Dillon,6,11,19,6,37,22,22,62,40,16,25.8,0,33,30.3,0,0,109,65
2020,32,Chris Buescher,21,9,20,7,35,20,5,88,83,4,4.5,1,22,20.2,0,0,109,59.4
2020,32,Bubba Wallace,26,18,21,5,36,19,-6,91,97,15,16.5,0,22,20.2,0,0,109,62.3
2020,32,Matt DiBenedetto,20,35,22,2,36,21,-20,81,101,18,22.2,0,24,22,0,0,109,54.8
2020,32,Ty Dillon,17,26,23,1,35,19,23,87,64,29,33.3,4,27,24.8,5,4.6,109,64.1
2020,32,Christopher Bell,35,2,24,1,37,11,-3,90,93,26,28.9,4,82,75.2,6,5.5,109,85
2020,32,Daniel Suarez,34,17,25,13,36,26,-1,89,90,1,1.1,0,1,0.9,0,0,109,43.2
2020,32,Gray Gaulding,36,14,26,4,38,24,-41,70,111,6,8.6,0,14,12.8,0,0,109,48.2
2020,32,Corey LaJoie,32,19,27,10,37,25,3,101,98,4,4,0,4,3.7,0,0,109,45.3
2020,32,Quin Houff,25,31,28,19,38,32,3,75,72,0,0,0,0,0,0,0,109,33.5
2020,32,James Davison,37,36,29,8,37,30,-24,75,99,4,5.3,0,8,7.3,0,0,109,34.7
2020,32,Kyle Busch,9,28,30,1,36,11,-19,60,79,26,43.3,2,78,71.6,3,2.8,109,78.3
2020,32,Ryan Newman,15,24,31,4,38,26,-25,84,109,9,10.7,1,16,14.7,0,0,109,36.2
2020,32,Michael McDowell,31,20,32,6,37,20,-23,103,126,17,16.5,0,38,34.9,0,0,109,49.5
2020,32,Josh Bilicki,29,25,33,18,38,31,21,86,65,0,0,3,0,0,0,0,108,34.5
2020,32,Matt Kenseth,23,16,34,13,37,25,-26,62,88,3,4.8,0,3,2.8,0,0,108,46.5
2020,32,J.J. Yeley,33,37,35,14,38,35,22,39,17,4,10.3,2,1,0.9,0,0,108,28
2020,32,John Hunter Nemechek,19,38,36,12,38,34,-22,42,64,6,14.3,1,8,7.6,0,0,105,44.2
2020,32,Brennan Poole,22,27,37,13,37,30,-2,74,76,4,5.4,0,2,2.1,0,0,95,30.8
2020,32,Timmy Hill,27,30,38,3,38,34,9,46,37,7,15.2,0,8,14,0,0,57,23.2
2020,31,Denny Hamlin,1,29,1,1,32,20,-20,88,108,21,23.9,3,52,26,26,13,200,76.8
2020,31,Erik Jones,16,11,2,1,25,10,-17,392,409,279,71.2,5,160,80,13,6.5,200,100.5
2020,31,Ty Dillon,28,10,3,2,36,14,3,406,403,243,59.9,1,112,56,0,0,200,90.5
