Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2019,6,Daniel Suarez,9,10,10,1,22,12,-6,48,54,42,87.5,6,466,93.2,0,0,500,87.6
2019,6,Austin Dillon,29,14,11,1,31,12,16,52,36,34,65.4,23,427,85.4,0,0,500,84.4
2019,6,Joey Logano,1,9,19,1,21,11,-14,33,47,20,60.6,2,371,74.2,5,1,500,80.2
2019,6,Kurt Busch,19,18,12,1,24,15,9,59,50,37,62.7,2,301,60.2,0,0,500,78.1
2019,6,Kyle Larson,6,15,18,4,21,13,-24,32,56,26,81.2,2,321,64.2,0,0,500,75.9
2019,6,Alex Bowman,16,19,14,3,23,15,-10,43,53,27,62.8,0,301,60.2,0,0,500,74.3
2019,6,Paul Menard,14,16,15,5,24,16,-4,32,36,21,65.6,0,251,50.2,0,0,500,71.8
2019,6,Ty Dillon,22,17,13,3,30,19,24,58,34,16,27.6,11,109,21.8,0,0,500,69.8
2019,6,Ryan Preece,15,25,16,1,26,19,-5,43,48,17,39.5,1,169,33.8,0,0,500,66.5
2019,6,Matt DiBenedetto,21,13,20,4,25,19,4,45,41,10,22.2,4,98,19.6,0,0,500,63.8
2019,6,Jimmie Johnson,11,23,24,8,26,20,-12,26,38,8,30.8,0,116,23.2,0,0,498,61.3
2019,6,Bubba Wallace,26,20,17,1,26,20,2,47,45,9,19.1,0,24,4.8,0,0,500,60.7
2019,6,Erik Jones,18,11,30,3,32,19,-14,36,50,19,52.8,0,190,38,0,0,491,60.7
2019,6,Chris Buescher,12,22,21,2,27,21,-4,21,25,1,4.8,0,3,0.6,0,0,499,54.3
2019,6,William Byron,34,21,22,14,34,24,13,37,24,0,0,0,0,0,0,0,499,52
2019,6,Ryan Newman,20,24,23,17,26,24,-8,34,42,0,0,1,0,0,0,0,499,50.4
2019,6,Daniel Hemric,28,27,27,18,30,27,-3,17,20,0,0,36,0,0,0,0,496,50.4
2019,6,"Ricky Stenhouse, Jr.",24,26,25,15,26,24,-7,23,30,0,0,0,1,0.2,0,0,498,49.8
2019,6,David Ragan,25,29,26,25,33,28,6,18,12,0,0,0,0,0,0,0,496,42.2
2019,6,Ross Chastain,30,34,34,26,35,33,-8,15,23,0,0,18,0,0,0,0,365,38.6
2019,6,Landon Cassill,27,30,28,27,33,30,-5,11,16,0,0,0,0,0,0,0,494,37.3
2019,6,Michael McDowell,23,33,31,23,35,32,-5,4,9,0,0,1,0,0,0,0,491,36.2
2019,6,Matt Tifft,31,28,29,26,35,29,-3,7,10,0,0,0,0,0,0,0,494,33.7
2019,6,Corey LaJoie,32,31,33,29,33,32,4,15,11,0,0,0,0,0,0,0,489,31.3
2019,6,D.J. Kennington,35,32,32,28,35,32,-6,5,11,0,0,2,0,0,0,0,489,29.2
2019,6,Jeb Burton,36,35,35,31,36,34,0,5,5,0,0,0,0,0,0,0,163,25.5
2019,6,Cody Ware,33,36,36,33,36,36,-1,1,2,0,0,0,0,0,0,0,55,23.2
2019,5,Kyle Busch,4,1,1,1,20,3,20,56,36,42,75,66,197,98.5,134,67,200,148.5
2019,5,Joey Logano,5,5,2,1,16,4,3,59,56,44,74.6,16,200,100,3,1.5,200,121.4
2019,5,Brad Keselowski,13,2,3,1,33,8,10,88,78,32,36.4,28,160,80,42,21,200,115.7
2019,5,Ryan Blaney,10,4,5,1,34,7,5,96,91,56,58.3,13,193,96.5,2,1,200,111.6
2019,5,Aric Almirola,3,6,9,1,12,6,-3,58,61,50,86.2,6,200,100,7,3.5,200,108.6
2019,5,Kevin Harvick,2,7,4,2,31,7,-12,78,90,39,50,3,193,96.5,0,0,200,107.6
2019,5,Denny Hamlin,6,9,7,1,20,8,19,89,70,50,56.2,18,186,93,8,4,200,104.3
2019,5,Kurt Busch,21,8,6,4,27,10,24,137,113,59,43.1,2,183,91.5,0,0,200,98.5
2019,5,Austin Dillon,1,17,10,1,23,11,1,88,87,50,56.8,2,154,77,0,0,200,92.2
2019,5,"Martin Truex, Jr.",27,15,8,4,27,14,39,131,92,58,44.3,4,128,64,0,0,200,87.9
2019,5,Daniel Suarez,20,11,13,5,29,12,3,128,125,62,48.4,2,184,92,0,0,200,86.4
2019,5,Chase Elliott,8,14,11,2,28,13,-12,139,151,71,51.1,0,147,73.5,0,0,200,84
2019,5,Jimmie Johnson,11,10,17,5,19,11,-7,82,89,60,73.2,0,168,84,0,0,200,82.2
2019,5,Kyle Larson,15,12,12,3,33,14,1,132,131,41,31.1,1,132,66,0,0,200,79.8
2019,5,Erik Jones,18,3,19,3,23,12,0,111,111,53,47.8,5,155,77.5,0,0,200,79
